company,title,season,season_inferred,category,location,salary,skills,posted_at,first_seen_at,url
Novartis,Intern Data Analyst,2026 Graduates,True,Data & ML/AI,Hyderabad (Office),,,2026-08-17T00:00:00Z,2026-08-17T08:40:34Z,https://novartis.wd3.myworkdayjobs.com/Novartis_Careers/job/Hyderabad-Office/Intern-Data-Analyst_REQ-10085942
Novartis,Intern AI & DS Engineering,2026 Graduates,True,Data & ML/AI,Hyderabad (Office),,Python; LLMs; Git,2026-08-17T00:00:00Z,2026-08-17T08:40:34Z,https://novartis.wd3.myworkdayjobs.com/Novartis_Careers/job/Hyderabad-Office/Intern-AI---DS-Engineering_REQ-10085515
Oaktree Capital Management,"Associate, ServiceNow Developer",2026 Graduates,True,Software,Hyderabad,,JavaScript; React; Angular,2026-08-17T00:00:00Z,2026-08-17T08:40:34Z,https://oaktree.wd1.myworkdayjobs.com/oaktree/job/Hyderabad/Associate--ServiceNow-Developer_2026-85
JPMorganChase,Data Scientist Associate - Customer Analytics,2026 Graduates,True,Data & ML/AI,"Hyderabad, Telangana, India",,Python; SQL; Tableau,2026-08-17,2026-08-17T06:48:41Z,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/210780571
Quantum,Graduate Data Engineer,2026 Graduates,True,Data & ML/AI,London (hybrid),,Python; SQL,2026-08-13T13:09:38.437+00:00,2026-08-16T09:28:21Z,https://jobs.ashbyhq.com/quantum/4e81ce91-ecf2-4be2-8aba-bf3e80d1f8b6
BlackRock,"Associate - Power Bi Developer, Data Analytics",2026 Graduates,True,Data & ML/AI,"Mumbai, India",,SQL; Azure; Tableau,2026-08-13T00:00:00Z,2026-08-16T09:28:21Z,https://blackrock.wd1.myworkdayjobs.com/BlackRock_Professional/job/Mumbai-India/Analyst--Data-Analytics_R263882
Ancestry,"Machine Learning Engineer, Co-op",2026 Graduates,True,Data & ML/AI,Remote,,Python; Java; PyTorch; TensorFlow; scikit-learn; LLMs; Node.js,2026-08-11T00:00:00Z,2026-08-16T09:28:21Z,https://ancestry.wd501.myworkdayjobs.com/Careers/job/Remote/Machine-Learning-Engineer--Co-op_R003377
Cambium Learning Group,Machine Learning Intern,2026 Graduates,True,Data & ML/AI,Remote,,Python,2026-08-11T00:00:00Z,2026-08-16T09:28:21Z,https://cambiumlearning.wd1.myworkdayjobs.com/camb/job/Remote/Machine-Learning-Intern_REQ-4561
Cigna Group,Software Engineering Associate Advisor - HIH - Evernorth,2026 Graduates,True,Software,"Hyderabad, India",,Python; JavaScript; SQL; PyTorch; TensorFlow; LLMs; React; Node.js,2026-08-11T00:00:00Z,2026-08-16T09:28:21Z,https://cigna.wd5.myworkdayjobs.com/cignacareers/job/Hyderabad-India/Software-Engineering-Associate-Advisor---HIH---Evernorth_26001226
Oaktree Capital Management,"Associate, Workday Financial Developer (L3)",2026 Graduates,True,Software,Hyderabad,,,2026-08-04T00:00:00Z,2026-08-16T09:28:21Z,https://oaktree.wd1.myworkdayjobs.com/oaktree/job/Hyderabad/Associate--Workday-Financials-Developer--L2-_2026-236
HEXAWARE,Java Full Stack Engineer - Associate,2026 Graduates,True,Software,India,,Java; Spring,2026-08-01,2026-08-16T09:28:21Z,https://fa-etqo-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/626568
Quora,"Software Engineer, Machine Learning Platform, New Grad - Quora (Remote)",2026 Graduates,False,Data & ML/AI,Remote - Multiple Locations,,Python; C++; PyTorch; TensorFlow; LLMs; AWS; Kubernetes; Docker,2026-07-31T23:57:14.341+00:00,2026-08-16T09:28:21Z,https://jobs.ashbyhq.com/quora/452afc2e-0c79-41f8-8201-1aab7df775db
Ares Management,Associate Developer - HR Tech (Workday),2026 Graduates,True,Software,"Mumbai, India",,,2026-07-31T00:00:00Z,2026-08-16T09:28:21Z,https://aresmgmt.wd1.myworkdayjobs.com/External/job/Mumbai-India/Business-Analyst---Workday_R7623
Epicor,Interns - Content Developer /Technical Writing/ Instructional Designer,2026 Graduates,True,Software,"India, Bangalore",,,2026-07-30T00:00:00Z,2026-08-16T09:28:21Z,https://epicorsoftware.wd5.myworkdayjobs.com/epicorjobs/job/India-Bangalore/Interns---Content-Developer--Technical-Writing--Instructional-Designer_JR105255
AffirmedRx,"Associate, Data Engineer",2026 Graduates,True,Data & ML/AI,Remote,,Python; SQL; Azure,2026-07-28T13:00:02-04:00,2026-08-16T09:28:21Z,https://job-boards.greenhouse.io/affirmedrxpbc/jobs/5372829008
Priceline,Associate Software Engineer,2026 Graduates,True,Software,Mumbai,,Java; TypeScript; JavaScript; React; Node.js; GraphQL; Git,2026-07-21T00:00:00Z,2026-08-16T09:28:21Z,https://priceline.wd1.myworkdayjobs.com/Priceline/job/Mumbai/Associate-Software-Engineer_R5752-1
ReliaQuest,Associate Software Engineer,2026 Graduates,True,Software,Pune India Office,,Java; TensorFlow; React; Angular; Spring; AWS; GCP; Azure,2026-07-15T00:00:00Z,2026-08-16T09:28:21Z,https://reliaquest.wd5.myworkdayjobs.com/ReliaQuest_Careers/job/Pune-India-Office/Associate-Software-Engineer_R15032
Oaktree Capital Management,Associate - Workday reporting developer,2026 Graduates,True,Software,Hyderabad,,,2026-06-30T00:00:00Z,2026-08-16T09:28:21Z,https://oaktree.wd1.myworkdayjobs.com/oaktree/job/Hyderabad/Associate---Workday-reporting-developer_2026-337
Genworth Financial,Associate Application Development Analyst (.Net Developer),2026 Graduates,True,Software,Remote India,,SQL; .NET; AWS; Azure,2025-10-21T00:00:00Z,2026-08-16T09:28:21Z,https://gnw.wd1.myworkdayjobs.com/GNW/job/Remote-India/Associate-Application-Development-Analyst--Net-Developer-_REQ-250458
Amgen,Associate PLM Software Engineer,2026 Graduates,True,Software,India - Hyderabad,,Git,2025-09-30T00:00:00Z,2026-08-16T09:28:21Z,https://amgen.wd1.myworkdayjobs.com/careers/job/India---Hyderabad/Associate-Software-Engineer_R-226973
Valeo,Intern - AI,2026 Graduates,True,Data & ML/AI,Chennai,,,2025-08-06T00:00:00Z,2026-08-16T09:28:21Z,https://valeo.wd3.myworkdayjobs.com/valeo_jobs/job/Chennai/Intern---AI_REQ2025061319
